"10:20:45.122 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.5%"
"10:20:50.152 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:20:55.131 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:21:00.130 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:21:05.148 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:21:10.123 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:21:15.136 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:21:20.116 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:21:25.143 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:21:30.131 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:21:35.143 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:21:40.159 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.5%"
"10:21:45.145 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.6%"
"10:21:50.138 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.7%"
"10:21:55.118 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.8%"
"10:22:00.114 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:22:05.122 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:22:10.124 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:22:15.123 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:22:20.146 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:22:25.133 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:22:30.138 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.0%"
"10:22:35.125 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.1%"
"10:22:40.136 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:22:45.133 -> Soil: 83.0% | Temp: 31.3°C | Hum: 73.9%"
"10:22:50.113 -> Soil: 83.0% | Temp: 31.3°C | Hum: 73.8%"
"10:22:55.143 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.8%"
"10:23:00.127 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.6%"
"10:23:05.139 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:23:10.140 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.5%"
"10:23:15.136 -> Soil: 83.0% | Temp: 31.3°C | Hum: 73.7%"
"10:23:20.124 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.7%"
"10:23:25.115 -> Soil: 84.0% | Temp: 31.2°C | Hum: 73.7%"
"10:23:30.145 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.7%"
"10:23:35.115 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.7%"
"10:23:40.130 -> Soil: 84.0% | Temp: 31.3°C | Hum: 73.7%"
"10:23:45.151 -> Soil: 83.0% | Temp: 31.3°C | Hum: 73.8%"
"10:23:50.132 -> Soil: 84.0% | Temp: 31.2°C | Hum: 73.6%"
"10:23:55.157 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.7%"
"10:24:00.143 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:24:05.127 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.9%"
"10:24:10.152 -> Soil: 84.0% | Temp: 31.2°C | Hum: 73.6%"
"10:24:15.135 -> Soil: 84.0% | Temp: 31.2°C | Hum: 73.8%"
"10:24:20.145 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:24:25.131 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.1%"
"10:24:30.112 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:24:35.123 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.0%"
"10:24:40.129 -> Soil: 83.0% | Temp: 31.2°C | Hum: 73.9%"
"10:24:45.156 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:24:50.124 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:24:55.156 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:25:00.142 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.0%"
"10:25:05.115 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:25:10.129 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.1%"
"10:25:15.143 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:25:20.119 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.1%"
"10:25:25.117 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:25:30.130 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.4%"
"10:25:35.115 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:25:40.135 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.5%"
"10:25:45.110 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:25:50.135 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.1%"
"10:25:55.129 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:26:00.117 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:26:05.154 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.4%"
"10:26:10.146 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.4%"
"10:26:15.139 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.1%"
"10:26:20.154 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:26:25.118 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.2%"
"10:26:30.139 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.1%"
"10:26:35.117 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:26:40.132 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.3%"
"10:26:45.115 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:26:50.139 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:26:55.115 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.1%"
"10:27:00.122 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:27:05.145 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:27:10.148 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:27:15.113 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:27:20.132 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.4%"
"10:27:25.111 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:27:30.131 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:27:35.141 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.2%"
"10:27:40.111 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.4%"
"10:27:45.130 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.3%"
"10:27:50.149 -> Soil: 84.0% | Temp: 31.3°C | Hum: 74.4%"
"10:27:55.150 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.5%"
"10:28:00.146 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.5%"
"10:28:05.127 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:28:10.114 -> Soil: 83.0% | Temp: 31.2°C | Hum: 74.4%"
"10:28:15.142 -> Soil: 84.0% | Temp: 31.2°C | Hum: 74.3%"
"10:28:20.110 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
"10:28:25.131 -> Soil: 83.0% | Temp: 31.3°C | Hum: 74.2%"
